password,last_login,is_superuser,username,first_name,last_name,email,is_staff,is_active,date_joined,is_registered,invitation_counter,group_id,portal_id
adminpassword,2022-10-01 08:00:00,1,system_admin@email.com,Admin,System,system_admin@email.com,1,1,2022-10-01 08:00:00,1,1,1,1
adminpassword,2022-10-01 08:00:00,1,admin@email.com,Leonidas,Oikonomou,admin@email.com,1,1,2022-10-01 08:00:00,1,1,2,1
userpassword,2022-10-01 08:00:00,0,user1@email.com,Mikail,Cardenas,user1@email.com,0,1,2022-10-01 08:00:00,1,1,3,2
userpassword,2022-10-01 08:00:00,0,user2@email.com,Noel,Edge,user2@email.com,0,1,2022-10-01 08:00:00,1,1,3,3
userpassword,2022-10-01 08:00:00,0,user3@email.com,Simra,Orozco,user3@email.com,0,1,2022-10-01 08:00:00,1,1,3,4
userpassword,2022-10-01 08:00:00,0,user4@email.com,Muhammed,Hume,user4@email.com,0,1,2022-10-01 08:00:00,1,1,3,5
userpassword,2022-10-01 08:00:00,0,user5@email.com,Regan,Grant,user5@email.com,0,1,2022-10-01 08:00:00,1,1,3,6
userpassword,2022-10-01 08:00:00,0,user6@email.com,Liam,Dickens,user6@email.com,0,1,2022-10-01 08:00:00,1,1,4,2
userpassword,2022-10-01 08:00:00,0,user7@email.com,Chris,Small,user7@email.com,0,1,2022-10-01 08:00:00,1,1,4,3
userpassword,2022-10-01 08:00:00,0,user8@email.com,Jameson,Wilde,user8@email.com,0,0,2022-10-01 08:00:00,1,1,4,4
userpassword,2022-10-01 08:00:00,0,user9@email.com,Tyreke,Muir,user9@email.com,0,1,2022-10-01 08:00:00,1,1,4,5
userpassword,2022-10-01 08:00:00,0,user10@email.com,Iwan,Shah,user10@email.com,0,1,2022-10-01 08:00:00,1,1,4,6
userpassword,2022-10-01 08:00:00,0,user11@email.com,April,Beaumont,user11@email.com,0,1,2022-10-01 08:00:00,1,1,4,2
userpassword,2022-10-01 08:00:00,0,user12@email.com,Luciana,Haworth,user12@email.com,0,1,2022-10-01 08:00:00,1,1,4,3
userpassword,2022-10-01 08:00:00,0,user13@email.com,Eliana,Healy,user13@email.com,0,1,2022-10-01 08:00:00,1,1,4,4
userpassword,2022-10-01 08:00:00,0,user14@email.com,shiloh,Glover,user14@email.com,0,1,2022-10-01 08:00:00,1,1,4,5
userpassword,2022-10-01 08:00:00,0,user15@email.com,Darragh,Flores,user15@email.com,0,1,2022-10-01 08:00:00,1,1,4,6
userpassword,2022-10-01 08:00:00,0,user16@email.com,Theodora,Mccormick,user16@email.com,0,1,2022-10-01 08:00:00,1,1,4,2
