id,fname,lname,email,belongs_to_class,class_id,absences,password
1,Edith,North,student1@email.com,1,1,10,studentpassword
2,Ethel,Friedman,student2@email.com,1,1,7,studentpassword
3,Adam,Kirk,student3@email.com,1,1,3,studentpassword
4,Hasnain,Narnard,student4@email.com,1,1,6,studentpassword
5,Anderson,House,student5@email.com,1,1,22,studentpassword
6,Kush,Hill,student6@email.com,1,2,28,studentpassword
7,Sian,Turnbull,student7@email.com,1,2,19,studentpassword
8,Eamon,Krause,student8@email.com,1,2,21,studentpassword
9,Usama,Carroll,student9@email.com,1,2,7,studentpassword
10,Kris,Smith,student10@email.com,1,2,4,studentpassword
11,Kara,Stephenson,student11@email.com,1,3,8,studentpassword
12,Rio,Mackenzie,student12@email.com,1,3,2,studentpassword
13,Corban,Koch,student13@email.com,1,3,18,studentpassword
14,Marlene,chaney,student14@email.com,1,3,9,studentpassword
15,Sebastian,Merrill,student15@email.com,1,3,6,studentpassword
16,Yuvaan,Mckinney,student16@email.com,1,4,10,studentpassword
17,Mark,Shaffer,student17@email.com,1,4,7,studentpassword
18,Taslima,Wade,student18@email.com,1,4,3,studentpassword
19,Kirk,Conroy,student19@email.com,1,4,6,studentpassword
20,Gurpreet,Boyd,student20@email.com,1,4,22,studentpassword
21,Mandeep,Stein,student21@email.com,1,5,28,studentpassword
22,Alvin,Hamilton,student22@email.com,1,5,19,studentpassword
23,Cecilia,Lyon,student23@email.com,1,5,21,studentpassword
24,Hayden,Carroll,student24@email.com,1,5,7,studentpassword
25,Lily,Morley,student25@email.com,1,5,4,studentpassword
26,Marta,Bernard,student26@email.com,1,6,8,studentpassword
27,Tracy,Rice,student27@email.com,1,6,2,studentpassword
28,Sufyaan,Deleon,student28@email.com,1,6,18,studentpassword
29,Tamar,Bolton,student29@email.com,1,6,9,studentpassword
30,Roisin,Huffman,student30@email.com,1,6,6,studentpassword
31,Ruby,Nunez,student31@email.com,1,7,10,studentpassword
32,Amiyah,Steadman,student32@email.com,1,7,7,studentpassword
33,Fleyr,Gonzales,student33@email.com,1,7,3,studentpassword
34,Harper,Correa,student34@email.com,1,7,6,studentpassword
35,Amanah,Millington,student35@email.com,1,7,22,studentpassword
36,Sky,Lawrence,student36@email.com,1,8,28,studentpassword
37,Alessia,Lindsey,student37@email.com,1,8,19,studentpassword
38,Maxime,Middleton,student38@email.com,1,8,21,studentpassword
39,Julian,Fischer,student39@email.com,1,8,7,studentpassword
40,Nafisa,Michael,student40@email.com,1,8,4,studentpassword
41,Orlaith,Correa,student41@email.com,1,9,8,studentpassword
42,Edith,North,student42@email.com,1,9,10,studentpassword
43,Ethel,Friedman,student43@email.com,1,9,7,studentpassword
44,Adam,Kirk,student44@email.com,1,9,3,studentpassword
45,Hasnain,Narnard,student45@email.com,1,9,6,studentpassword
46,Anderson,House,student46@email.com,1,10,22,studentpassword
47,Kush,Hill,student47@email.com,1,10,28,studentpassword
48,Sian,Turnbull,student48@email.com,1,10,19,studentpassword
49,Eamon,Krause,student49@email.com,1,10,21,studentpassword
50,Usama,Carroll,student50@email.com,1,10,7,studentpassword
51,Kris,Smith,student51@email.com,1,11,4,studentpassword
52,Kara,Stephenson,student52@email.com,1,11,8,studentpassword
53,Rio,Mackenzie,student53@email.com,1,11,2,studentpassword
54,Corban,Koch,student54@email.com,1,11,18,studentpassword
55,Marlene,chaney,student55@email.com,1,11,9,studentpassword
56,Sebastian,Merrill,student56@email.com,1,12,6,studentpassword
57,Yuvaan,Mckinney,student57@email.com,1,12,10,studentpassword
58,Mark,Shaffer,student58@email.com,1,12,7,studentpassword
59,Taslima,Wade,student59@email.com,1,12,3,studentpassword
60,Kirk,Conroy,student60@email.com,1,12,6,studentpassword
61,Gurpreet,Boyd,student61@email.com,1,13,22,studentpassword
62,Mandeep,Stein,student62@email.com,1,13,28,studentpassword
63,Alvin,Hamilton,student63@email.com,1,13,19,studentpassword
64,Cecilia,Lyon,student64@email.com,1,13,21,studentpassword
65,Hayden,Carroll,student65@email.com,1,13,7,studentpassword
66,Lily,Morley,student66@email.com,1,14,4,studentpassword
67,Marta,Bernard,student67@email.com,1,14,8,studentpassword
68,Tracy,Rice,student68@email.com,1,14,2,studentpassword
69,Sufyaan,Deleon,student69@email.com,1,14,18,studentpassword
70,Tamar,Bolton,student70@email.com,1,14,9,studentpassword
71,Roisin,Huffman,student71@email.com,1,15,6,studentpassword
72,Ruby,Nunez,student72@email.com,1,15,10,studentpassword
73,Amiyah,Steadman,student73@email.com,1,15,7,studentpassword
